,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0703
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,100.0,0.0,1,0703
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,99.311,0.6886664816489374,22,0703
3,5000001,025vpSSyndhVZezl8rUF6L,,,99.214,0.7859564987758323,42,0703
4,5000008,68iMdxXn1timrxURm9dR8C,,,99.151,0.8490937205067948,77,0703
5,5000019,49ilSrZNQcle6PYw8rtvzM,,,99.13,0.8699468975973379,88,0703
6,1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,99.085,0.9148106347791538,111,0703
7,5000013,2LbHYfTYW6TipHInIjqdaQ,,,99.085,0.9148106347791538,112,0703
8,5000020,66Z3LdLjtwfIdHFF0wZa5B,,,98.965,1.0350378888391683,214,0703
9,5000018,49Nzxf1LskunwmZ6EyWUew,,,98.911,1.0885668370515895,271,0703
10,5000011,5FoM2ZWwhgTxHFFh2stUw6,,,98.875,1.1250826675122882,325,0703
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,,,98.747,1.2530636786721137,544,0703
12,5000012,7tn1tcxenMwDXrYTOjS3z1,,,98.701,1.2991651439388545,640,0703
